3,1 
4,2 
6,3 
7,2 
8,1 
10,1 
11,1 
12,3 
13,1 
14,1 
15,1 
16,2 
17,2 
18,3 
20,1 
21,1 
23,3 
24,2 
25,2 
26,1 
28,2 
29,2 
31,1 
33,1 
34,2 
35,1 
36,1 
37,1 
38,3 
39,1 
40,2 
41,1 
43,1 
45,2 
46,2 
47,3 
48,4 
49,1 
53,1 
54,2 
55,1 
56,3 
57,1 
58,1 
59,1 
60,2 
63,1 
66,1 
68,2 
69,3 
70,2 
71,1 
72,1 
74,1 
75,1 
77,1 
78,1 
79,2 
80,1 
83,1 
84,1 
88,1 
89,1 
90,1 
94,2 
96,1 
98,1 
99,1 
101,1 
103,1 
106,3 
110,2 
113,1 
114,1 
115,1 
116,1 
117,2 
118,2 
119,1 
122,2 
124,2 
128,1 
129,1 
132,1 
133,2 
135,2 
136,1 
138,1 
140,1 
141,2 
143,2 
144,1 
147,2 
148,1 
149,3 
152,2 
153,3 
155,3 
156,3 
158,2 
160,1 
161,1 
163,2 
164,2 
165,2 
169,1 
170,1 
174,4 
175,2 
176,1 
177,2 
181,4 
185,3 
186,1 
187,1 
188,2 
190,1 
191,4 
193,1 
194,2 
195,2 
196,2 
197,1 
200,1 
201,1 
202,1 
203,1 
204,1 
205,1 
207,1 
208,1 
210,1 
211,1 
214,2 
215,1 
217,1 
221,2 
222,1 
223,4 
225,1 
226,2 
227,1 
228,3 
230,1 
234,1 
237,1 
238,2 
241,2 
242,1 
243,1 
244,3 
245,5 
247,2 
248,2 
249,2 
251,1 
252,1 
253,1 
258,2 
259,1 
261,1 
262,2 
264,2 
265,1 
266,2 
267,1 
268,4 
272,1 
275,1 
278,1 
279,1 
280,1 
281,2 
282,1 
284,1 
285,2 
286,1 
287,1 
289,1 
290,5 
291,1 
292,1 
293,2 
294,1 
295,2 
296,2 
298,1 
299,1 
301,1 
302,2 
303,1 
305,1 
308,2 
311,2 
314,1 
315,1 
317,1 
318,2 
319,3 
323,2 
325,1 
327,3 
328,2 
330,1 
331,2 
332,3 
333,2 
336,3 
338,1 
339,1 
341,1 
343,2 
344,1 
345,3 
346,2 
347,1 
349,2 
350,1 
353,3 
354,2 
355,2 
357,1 
359,1 
361,1 
362,1 
363,2 
364,1 
365,2 
367,1 
368,4 
369,1 
372,2 
373,1 
375,1 
378,1 
380,1 
381,1 
382,1 
384,1 
385,1 
386,2 
390,1 
391,2 
392,1 
393,1 
394,2 
395,1 
397,1 
399,1 
401,1 
403,1 
404,2 
405,1 
408,2 
410,2 
411,2 
412,1 
413,2 
414,1 
415,3 
416,1 
418,1 
419,1 
