100
0, 69, 202
0, 28, 180
0, 25, 589
0, 85, 737
0, 84, 908
0, 40, 174
0, 88, 428
0, 24, 509
1, 33, 212
1, 73, 286
1, 7, 542
1, 80, 905
1, 61, 937
1, 86, 754
1, 72, 95
1, 57, 441
2, 31, 227
2, 16, 715
2, 61, 498
2, 38, 465
2, 53, 635
2, 54, 1073
2, 74, 714
3, 88, 195
3, 41, 852
3, 20, 357
3, 79, 312
3, 97, 567
3, 34, 432
3, 17, 708
3, 68, 352
4, 23, 531
4, 54, 357
4, 92, 592
4, 65, 495
4, 36, 448
4, 55, 298
4, 13, 830
4, 90, 582
5, 51, 459
5, 22, 631
5, 73, 230
5, 35, 749
5, 97, 588
5, 17, 810
6, 37, 740
6, 32, 209
6, 90, 87
6, 60, 809
6, 76, 346
7, 37, 476
7, 79, 748
7, 88, 553
7, 49, 1154
7, 71, 474
7, 96, 955
7, 20, 794
7, 53, 441
7, 30, 768
7, 76, 608
8, 86, 374
8, 28, 95
8, 42, 231
8, 2, 389
8, 71, 278
8, 53, 261
9, 39, 388
9, 14, 403
9, 12, 488
9, 93, 745
9, 0, 545
9, 73, 147
9, 33, 42
9, 44, 188
10, 94, 554
10, 8, 237
10, 86, 469
10, 39, 660
10, 19, 848
10, 90, 295
10, 82, 284
10, 26, 590
10, 47, 881
10, 11, 656
11, 75, 945
11, 83, 556
11, 1, 960
11, 26, 507
11, 14, 516
11, 23, 1064
11, 98, 531
11, 64, 831
12, 92, 174
12, 14, 184
12, 32, 250
12, 96, 198
12, 38, 255
12, 9, 488
13, 22, 903
13, 84, 1128
13, 88, 656
13, 79, 721
13, 48, 892
14, 5, 293
14, 64, 521
14, 94, 502
14, 0, 271
14, 71, 296
14, 31, 553
14, 63, 379
14, 11, 516
14, 67, 212
14, 44, 485
15, 13, 863
15, 30, 450
15, 45, 329
15, 26, 282
15, 36, 288
15, 96, 603
15, 94, 385
15, 95, 471
15, 56, 514
16, 98, 704
16, 44, 126
16, 9, 137
16, 14, 360
16, 21, 617
16, 54, 500
16, 91, 605
16, 49, 798
16, 23, 299
16, 76, 401
17, 24, 260
17, 94, 1020
17, 70, 504
17, 28, 626
17, 23, 1056
17, 25, 370
17, 29, 271
17, 99, 568
18, 71, 68
18, 34, 553
18, 39, 255
18, 8, 289
18, 52, 412
18, 17, 739
18, 78, 513
18, 68, 239
18, 86, 535
18, 65, 310
19, 88, 600
19, 91, 539
19, 58, 566
19, 39, 397
19, 20, 647
19, 62, 479
19, 45, 806
19, 65, 884
19, 59, 704
20, 46, 111
20, 61, 263
20, 28, 233
20, 60, 706
20, 72, 721
20, 4, 539
21, 41, 285
21, 20, 631
21, 99, 679
21, 47, 265
21, 83, 127
21, 53, 475
21, 91, 524
21, 69, 637
22, 3, 588
22, 12, 639
22, 6, 626
22, 48, 469
22, 46, 585
22, 35, 607
22, 73, 812
22, 53, 381
23, 99, 766
23, 94, 142
23, 88, 401
23, 45, 291
23, 26, 620
23, 71, 383
23, 12, 647
23, 60, 917
24, 97, 405
24, 77, 227
24, 36, 813
24, 6, 295
24, 5, 642
24, 13, 626
24, 86, 83
24, 7, 665
24, 16, 647
24, 88, 519
25, 18, 375
25, 49, 808
25, 90, 475
25, 30, 461
25, 92, 515
25, 17, 370
25, 44, 467
25, 8, 380
26, 31, 883
26, 53, 169
26, 41, 435
26, 3, 419
26, 58, 254
26, 11, 507
26, 52, 337
26, 78, 518
26, 89, 438
27, 28, 502
27, 59, 573
27, 83, 202
27, 48, 412
27, 18, 462
27, 14, 416
27, 31, 943
27, 39, 265
27, 30, 557
27, 89, 379
28, 14, 90
28, 40, 218
28, 54, 790
28, 35, 442
28, 56, 136
28, 47, 712
28, 53, 338
28, 1, 623
28, 36, 500
29, 18, 511
29, 61, 220
29, 37, 523
29, 31, 742
29, 50, 357
29, 24, 122
29, 12, 430
29, 66, 655
29, 13, 660
30, 33, 404
30, 77, 339
30, 83, 733
30, 28, 99
30, 50, 642
30, 32, 303
30, 72, 476
31, 85, 909
31, 24, 711
31, 90, 462
31, 87, 1115
31, 23, 919
31, 96, 346
32, 57, 303
32, 29, 202
32, 20, 81
32, 40, 415
32, 36, 670
32, 11, 354
33, 82, 448
33, 45, 182
33, 95, 702
33, 19, 802
33, 88, 256
33, 4, 399
33, 46, 635
34, 68, 738
34, 45, 608
34, 99, 264
34, 72, 692
34, 33, 709
34, 52, 698
34, 48, 595
34, 60, 523
34, 21, 445
35, 34, 278
35, 25, 570
35, 56, 338
35, 42, 452
35, 81, 214
35, 31, 560
35, 65, 1076
36, 93, 805
36, 18, 223
36, 41, 859
36, 39, 463
36, 73, 65
36, 32, 670
36, 74, 277
36, 27, 685
36, 48, 326
36, 38, 300
37, 79, 271
37, 53, 149
37, 65, 302
37, 59, 171
37, 20, 613
37, 14, 369
37, 84, 395
37, 71, 75
37, 62, 873
38, 33, 297
38, 19, 827
38, 91, 539
38, 53, 359
38, 42, 283
39, 7, 277
39, 41, 413
39, 89, 574
39, 4, 63
39, 16, 251
39, 45, 462
39, 43, 94
40, 34, 550
40, 83, 868
40, 10, 164
40, 93, 435
40, 48, 577
40, 9, 406
41, 3, 852
41, 42, 1015
41, 58, 586
41, 80, 850
41, 78, 943
41, 75, 714
41, 60, 203
41, 43, 379
42, 37, 569
42, 17, 743
42, 18, 511
42, 59, 721
42, 88, 410
43, 25, 137
43, 9, 460
43, 41, 379
43, 99, 560
43, 23, 619
43, 94, 626
43, 8, 429
43, 45, 512
44, 75, 79
44, 36, 231
44, 10, 674
44, 68, 272
44, 41, 640
44, 30, 500
44, 25, 467
45, 44, 332
45, 14, 319
45, 7, 739
45, 75, 323
45, 82, 330
45, 88, 205
45, 56, 438
45, 72, 296
45, 99, 481
45, 59, 372
46, 13, 317
46, 21, 699
46, 60, 769
46, 70, 606
46, 91, 219
46, 43, 577
47, 32, 680
47, 21, 265
47, 67, 833
47, 83, 139
47, 36, 699
48, 57, 284
48, 94, 425
48, 90, 703
48, 84, 303
48, 33, 277
49, 50, 994
49, 73, 811
49, 38, 500
49, 12, 321
49, 48, 903
49, 29, 686
49, 54, 1203
49, 60, 1110
49, 88, 666
49, 89, 639
50, 25, 187
50, 46, 659
50, 0, 776
50, 12, 690
50, 36, 704
50, 67, 718
50, 84, 286
50, 56, 524
50, 83, 92
51, 50, 494
51, 15, 532
51, 36, 640
51, 25, 314
51, 61, 278
51, 86, 151
52, 80, 849
52, 61, 833
52, 45, 627
52, 85, 851
52, 60, 404
52, 31, 1174
53, 61, 586
53, 83, 439
53, 80, 557
53, 74, 117
53, 43, 198
53, 67, 452
53, 45, 314
54, 10, 956
54, 29, 643
54, 34, 727
54, 85, 838
54, 58, 438
55, 79, 175
55, 25, 414
55, 91, 544
55, 44, 245
55, 85, 825
55, 22, 570
55, 48, 253
55, 67, 394
56, 16, 475
56, 67, 223
56, 8, 195
56, 88, 328
56, 40, 353
56, 18, 440
56, 41, 791
56, 30, 233
57, 69, 230
57, 15, 269
57, 73, 467
57, 29, 308
57, 16, 241
58, 89, 630
58, 67, 529
58, 93, 716
58, 27, 408
58, 12, 505
58, 63, 143
58, 80, 676
58, 60, 557
58, 33, 236
59, 53, 316
59, 38, 480
59, 31, 1007
59, 22, 629
59, 54, 454
59, 65, 187
60, 89, 556
60, 4, 398
60, 77, 709
60, 67, 844
60, 32, 634
60, 53, 501
61, 75, 915
61, 80, 118
61, 71, 661
61, 69, 428
61, 22, 428
61, 83, 612
61, 79, 864
62, 52, 887
62, 45, 951
62, 69, 638
62, 1, 1064
62, 6, 500
62, 82, 623
62, 65, 1174
62, 85, 45
62, 4, 699
62, 33, 1034
63, 2, 757
63, 4, 46
63, 83, 343
63, 97, 271
63, 33, 379
63, 65, 462
63, 10, 627
63, 95, 387
63, 35, 754
64, 26, 851
64, 50, 1022
